id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
442,"Darkmans (Thames Gateway, #3)","
        (Thames Gateway #3)
",Nicola Barker,"Fiction,Fantasy,Literature,Contemporary,Literature,21st Century,Literary Fiction,Novels,European Literature,British Literature,Unfinished",May 1st 2007,"Fourth Estate (GB)

            ,",838,English,291,3.63,"Booker Prize Nominee (2007),Hawthornden Prize (2008),The Royal Society of Literature Ondaatje Prize Nominee (2008)"
443,The Hummingbird's Daughter,"
        (The Hummingbird's Daughter)
",Luis Alberto Urrea,"Historical,Historical Fiction,Fiction,Magical Realism,Historical,Religion,Cultural,Latin American,Novels,Literary Fiction,Adult",April 3rd 2006,"Back Bay Books

            ,",528,English,"1,670",4.2,Kiriyama Prize for Fiction (2006)
444,The Uncommon Reader,,Alan Bennett,"Fiction,Writing,Books About Books,Humor,Contemporary,European Literature,British Literature,Novella,Audiobook,Adult Fiction,Literary Fiction",September 18th 2007,"Farrar, Straus and Giroux

            ,",120,English,"6,370",3.75,"Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2008),Sakura Medal Nominee for High School Book (2010)"
445,The Lowland,,Jhumpa Lahiri,"Fiction,Cultural,India,Historical,Historical Fiction,Literary Fiction,Contemporary,Novels,Cultural,Asia,Audiobook,Literature",September 24th 2013,Knopf,340,English,"8,506",3.85,"Booker Prize Nominee (2013),NAIBA Book of the Year for Fiction (2014),Women's Prize for Fiction Nominee (2014),Andrew Carnegie Medal Nominee for Fiction (2014),National Book Award Finalist for Fiction (2013)"
446,The End of Mr. Y,,Scarlett Thomas,"Fiction,Fantasy,Science Fiction,Mystery,Writing,Books About Books,Magical Realism,Philosophy,Contemporary,Novels",June 1st 2008,"Canongate Books

            ,",502,English,"1,726",3.78,Orange Prize Nominee for Fiction Longlist (2008)
447,"Evernight (Evernight, #1)","
        (Evernight #1)
",Claudia Gray,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction,Fantasy,Urban Fantasy",May 27th 2008,HarperTeen,327,English,"3,349",3.65,
448,102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,,"Jim  Dwyer,Kevin Flynn","Nonfiction,History,Crime,True Crime,North American Hi...,American History,War,Terrorism,Historical,Biography,Adventure,Survival,War",January 12th 2005,"Times Books

            ,",322,English,"1,127",4.28,National Book Award Finalist for Nonfiction (2005)
449,"Nightshade (Nightshade, #1; Nightshade World, #4)","
        (Nightshade #1)
",Andrea Cremer,"Young Adult,Fantasy,Fantasy,Paranormal,Shapeshifters,Werewolves,Romance,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy,Fiction",October 19th 2010,Philomel,452,English,"5,087",3.99,
450,"Queen of Shadows (Throne of Glass, #4)","
        (Throne of Glass #4)
",Sarah J. Maas,"Fantasy,Young Adult,Romance,Fantasy,Magic,New Adult,Fairies,Fae,Young Adult,Young Adult Fantasy,Fiction,Fantasy,High Fantasy",September 1st 2015,Bloomsbury USA Childrens,648,English,"25,738",4.53,Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2015) and Nominee for Best of the Best  (2018)
451,"Into the Wild (Warriors, #1)","
        (Warriors #1)
",Erin Hunter,"Fantasy,Animals,Fiction,Childrens,Middle Grade,Young Adult,Childrens,Adventure,Animals,Cats,Childrens,Juvenile",January 6th 2004,"HarperTrophy

            ,",288,English,"6,720",4.3,
452,Einstein: His Life and Universe,,Walter Isaacson,"Biography,Nonfiction,Science,History,Science,Physics,Biography Memoir,Audiobook,Biography,Autobiography,Autobiography,Memoir",April 10th 2007,Simon  Schuster,675,English,"3,821",4.12,Audie Award for Biography/Memoir (2008)
453,Beyond the Event Horizon,,Scott McElhaney,"Science Fiction,Christian Fiction",August 23rd 2012,Superluminal,243,,28,3.92,
454,Runaway,,Alice Munro,"Short Stories,Fiction,Cultural,Canada,Literary Fiction,Contemporary,Literature,Nobel Prize,Literature,Canadian Literature,Womens",Nov-05,"Vintage Contemporaries

            ,",335,English,"2,258",3.98,"Scotiabank Giller Prize (2004),O. Henry Award for 'Passion' (2006),Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2005),Rogers Writers' Trust Fiction Prize (2004)"
455,Out of My Mind,"
        (Out of My Mind #1)
",Sharon M. Draper,"Realistic Fiction,Young Adult,Childrens,Middle Grade,Fiction,Contemporary,Childrens,Disability,Academic,School,Childrens,Juvenile",March 9th 2010,Atheneum Books for Young Readers,295,English,"15,097",4.36,"Josette Frank Award (2011),Buckeye Children's Book Award for 6-8 (2011),Pennsylvania Young Readers' Choice Award for Grades 6-8 (2013),Vermont Golden Dome Book Award Nominee (2012),New Mexico Land of Enchantment Award for Young Adult (2013)"
456,"Crooked Kingdom (Six of Crows, #2)","
        (Six of Crows  #2)
",Leigh Bardugo,"Fantasy,Young Adult,Fiction,Young Adult,Young Adult Fantasy,LGBT,Romance,Fantasy,Magic,Adventure,Fantasy,High Fantasy",September 27th 2016,Orion Children's Books,561,English,"44,293",4.59,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2016)
457,"Crooked Letter, Crooked Letter",,Tom Franklin,"Mystery,Fiction,Mystery,Crime,American,Southern,Thriller,Thriller,Mystery Thriller,Audiobook,Adult Fiction,Gothic,Southern Gothic",October 5th 2010,William Morrow,274,English,"4,931",3.84,"Barry Award Nominee for Best Novel (2011),Anthony Award Nominee for Best Novel (2011),Hammett Prize Nominee (2010),Romantic Times Reviewers' Choice Award (RT Award) for Best Contemporary Mystery (2010),Los Angeles Times Book Prize for Mystery/Thriller (2010)"
458,"Shadowland (The Immortals, #3)","
        (The Immortals #3)
",Alyson Noel,"Young Adult,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Supernatural,Romance,Paranormal Romance,Fiction,Fantasy,Magic,Fantasy,Urban Fantasy",November 17th 2009,St. Martin's Griffin,339,English,"2,583",3.66,"Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2009),Teen Read Award Nominee for Best Read (2010)"
459,"Magic Bites (Kate Daniels, #1)","
        (Kate Daniels #1)
",Ilona Andrews,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Fantasy,Magic,Paranormal,Vampires,Romance,Romance,Paranormal Romance,Fiction,Adult",March 27th 2007,Ace,261,English,"7,496",4.03,DABWAHA Romance Tournament for Best Novel with Romantic Elements/Crossover (2008)
